f00011,f00012,f1434506,f1322610,f1322606,f1332110,f1332106,f1476310,f1416806,f0679510,f0679506
05,021,29066,31976,27861,18.3,21,27.7,21.8,12.5,8.5
05,023,35753,35472,36420,18.6,15.8,28.5,30,7.4,5.1
05,025,36957,40402,40135,15.5,15.1,25.9,26.6,8,6.2
05,027,35148,34538,30743,25.6,25.4,23.9,21.3,9.2,6.2
05,029,32700,37475,35697,18.2,16.1,25.6,21.4,8.4,5.1
05,031,39233,37780,38239,21.1,16.7,26.6,24.8,7.3,4.9
05,033,40197,39672,38129,15.8,16.8,29.5,21.6,7.8,4.6
05,035,33716,33938,33331,30.3,24.9,25.2,19.9,11.4,6.8
05,037,37021,35080,32486,19.6,19,26.2,24.6,8.6,7.5
05,039,29602,31350,30228,19.4,21.9,24.9,21.6,11.1,6.7
05,041,29051,29586,26881,28,31.4,28.8,23.2,11.8,9.5
05,043,32558,34952,32826,20.9,19.1,24.5,23.8,10.9,8.3
05,045,45287,46199,42757,14.8,13.4,22.2,25.8,7.2,4.5
05,047,32064,38514,34838,17.2,16.4,26.1,21.8,7,4.3
05,049,30598,30191,29018,18.9,20,29.7,29.7,7.5,5.3
05,051,36844,36690,34434,21.7,16.9,28.7,26,8.1,5.3
05,053,51589,45347,46627,11.9,11.8,22,25.2,7,4.9
05,055,38209,36391,35151,17,16,25.3,20.4,10.2,5.8
05,057,35708,31786,30292,21.8,23,30.9,29.1,9.3,5.6
05,059,37150,37243,35237,15.3,14.8,24.8,22.9,7.8,5.3
05,061,34554,32543,32299,21,18.6,33.1,26.7,8.3,5.6
05,063,34625,35888,34620,18.2,14.5,25.2,20.7,8.5,5.6
05,065,31673,29883,30541,18.6,20.3,28.3,27.3,9.6,6.3
05,067,27615,30405,27271,25.8,26.1,28.9,19.7,10.9,8
05,069,35998,35092,33989,22.7,23.8,22.7,18.6,9.9,8
05,071,30592,32326,29915,21.9,19,30.8,29,7.6,5.3
05,073,27515,29084,27437,23.2,23.2,28.9,27.7,10,7.3
05,075,30288,32869,28437,22.4,21.7,27.1,20.5,9.3,6.9
05,077,30494,25944,22725,37.5,36.5,26.7,18.9,10.1,9.9
05,079,35737,35070,34024,28.5,25.1,26.3,24.2,9.2,8.1
05,081,33416,37260,32688,17.8,19.1,25,22.3,7.6,4.6
05,083,37551,36015,32257,17.1,17.2,25.2,21.7,8.2,5
05,085,50757,50021,48798,12.4,12.2,22.6,22.7,6.8,4.3
05,087,36502,34547,32932,19.3,18.7,32.4,31.5,6.7,3.6
05,089,34109,31438,31697,19.5,16.8,28.3,26.8,10.2,5.3
05,091,40307,37806,38860,20.1,17.3,25.3,21,5.7,4.8
05,093,33407,32169,29984,25,27.8,24.2,16.8,11.8,8.1
05,095,29964,28637,25592,26.6,26.5,26.1,21.4,8.7,7.6
05,097,35705,32032,31069,22.2,19.4,31.8,32.8,8.1,4.8
05,099,38375,32896,30646,25.2,19.8,25.7,21.1,9.3,5.7
05,101,27441,30965,28356,23.3,23,31.6,28.7,7.2,5.1
05,103,31259,35971,31770,20.3,21.2,23.9,18.8,8.6,8.1
05,105,43635,39054,35430,16.8,18.2,24.5,24.9,8.3,5
05,107,27361,26933,24102,36,35.4,23,15.8,10.1,8.7
05,109,32806,31569,30434,21.2,19.1,32,32.9,8.7,5.2
05,111,32267,32130,29943,27.1,22.8,26,21.1,9.1,6.7
05,113,32525,29938,30194,22.8,20.3,32.8,28.9,7.7,4.9
05,115,39841,39040,37644,17.7,17.5,25.4,22.2,7.8,4.8
05,117,35346,36898,31732,18.3,18,27.8,28.8,8.9,6
05,119,45121,44733,43338,17.1,14.2,22.8,19.5,7.1,4.8
05,121,30222,33401,28497,19.2,19.6,27.7,24.3,9.6,7.3
05,123,27019,29825,30125,32.7,29.8,24.8,19.4,10.6,9.2
05,125,51502,53430,48287,9.6,10.6,20.6,19,6.6,4.5
05,127,36417,29633,30543,22.5,20.6,33,27.7,7,4.5
05,129,28811,27896,24142,23.7,26.7,34.5,29.1,8.7,4.9
05,131,39482,38724,37862,20.5,15.2,30.4,22.9,7.4,4.6
05,133,34383,35279,31363,23.5,20.5,41.7,35.5,6.4,4.2
05,135,31135,28933,29436,25.1,19.7,28,26.4,9.5,6.8
05,137,30380,29182,25687,22.4,21.6,30.9,31.3,8.8,5.6
05,139,36464,36934,34152,21.6,20.5,23.1,19.5,10.6,6.8
05,141,31960,32142,29766,20.9,18.6,26.8,28.8,10,6.1
05,143,42303,39692,41505,19.6,15.1,28.9,31.4,6.3,3.6
05,145,39178,39974,36864,16.7,15.6,25.2,23.6,8.5,5.7
05,147,27186,27003,24147,25.9,28.1,27.7,24.1,11.2,8.7
05,149,36606,33522,32302,20.3,17.1,35.6,33.1,6.9,4.6
06,001,69384,66937,64285,13.5,11.1,18,18.5,11.3,4.4
06,003,63478,44241,47515,16.9,16.4,18.3,26.7,15.4,6.5
06,005,54758,49516,50528,12.8,9,18.2,17,13.2,5.3
06,007,43170,41168,40023,20.1,16.7,22.7,20.8,13.9,6.2
06,009,54971,50745,52745,11.1,10.8,19.2,20,15.2,5.8
06,011,48016,44981,40240,14.9,13.7,31,28.3,20.2,12.6
06,013,78385,73678,74058,9.3,7.9,17.2,18.9,11.1,4.3
06,015,36118,35438,33765,23.5,21.8,19.8,18.5,13.1,6.9
06,017,70000,65201,67605,9.4,7.6,16.4,18.1,12.5,4.6
06,019,46430,44869,42433,26.8,20.8,28.9,24.1,16.8,8
06,021,43074,40859,38093,17.6,17.8,28.7,26.2,15.9,8
06,023,40089,38254,38796,18,18,24.1,21.9,11.4,5.6
06,025,38685,39261,36275,22.3,19.4,29.6,23.6,29.9,15.3
06,027,44808,44507,41366,13.9,11.5,23.5,23.6,10,4.6
06,029,47089,45045,42709,21.4,20.5,30.1,21,15.9,7.6
06,031,48684,44020,42070,22.5,21.3,25.1,23.9,16.5,8.5
06,033,39491,35914,36174,21,17.1,23.9,19.9,17.7,7.1
06,035,50317,50093,45668,16.8,15.6,17.4,16.9,14,8
06,037,55476,52595,51279,17.6,15.4,31.8,28.8,12.6,4.7
06,039,46039,43596,39919,21.7,21.1,29.2,28.7,15.6,7
06,041,89268,82383,81305,9.2,8.3,14,18.2,8,3.5
06,043,49098,42222,40930,14.8,13.4,19.3,20.9,11.8,5.6
06,045,43759,40339,39847,19.6,16.8,25.9,23.8,11.3,5.2
06,047,43844,41730,40447,23.1,20.7,28.9,20.6,18.8,9.3
06,049,34588,34579,31610,21.9,18.7,26.5,24.5,14.4,7.7
06,051,55087,52768,51135,10.8,9.7,27.5,30.2,10.3,4.4
06,053,59271,53735,54273,17.1,11.6,30.7,30,12.7,7
06,055,67389,62893,63586,10.7,10.3,22,23.6,9.7,3.9
06,057,57121,54154,52141,11.7,7.9,20.3,21.1,11.4,4.4
06,059,74344,70727,70109,12.2,9.8,24,25.3,9.5,3.4
06,061,74447,68330,69982,9.1,5.7,15.2,15,11.5,4.2
06,063,44000,41421,46527,15.3,10.8,21.7,20.9,16.7,7.7
06,065,57768,53981,53269,16.4,12.2,29.2,31.3,14.5,5
06,067,56439,52655,53689,16.7,12.1,20,19.7,12.7,4.7
06,069,65771,58194,66941,12.7,9.6,25.6,20.8,17.2,7
06,071,55845,52270,52686,18.1,13.8,28.4,27,14.2,4.7
06,073,63069,59759,59279,14.8,11.7,22.9,25,10.5,4
06,075,71304,70883,64648,12.8,12.1,16.1,20.7,9.6,4.2
06,077,54341,49742,51691,19,14.4,25.1,19.7,17.3,7.4
06,079,57365,53620,50202,14.3,13.1,21.1,25.1,9.9,4
06,081,85648,82413,77717,7,7.2,16,18.2,8.8,3.7
06,083,60078,56243,53382,17.7,15.8,25.7,30.2,9.4,4.1
06,085,86850,84627,80775,10.6,9,17,19.1,11,4.5
06,087,65253,60247,60863,14.2,11.9,21.9,25.5,12.6,5.6
06,089,43944,41058,42813,18.2,16.7,21.1,17.4,15.7,6.6
06,091,52950,42800,43405,13.4,11.4,19.9,25.2,15.4,7.5
06,093,36981,36001,34329,21.5,17.6,23,21.6,16.6,8
06,095,68409,62948,61529,12.2,10.4,17.6,20.4,12,4.8
06,097,63274,58703,60656,12.8,9.6,20.9,22.3,10.5,4
06,099,51094,47442,48252,19.7,14.4,25.2,20.7,17.3,8
06,101,50944,46188,47174,16.8,13.3,27.3,24,19.5,8.9
06,103,38137,38188,35639,20.4,17.6,26.8,23.7,15.6,6.5
06,105,38725,35207,33070,18.4,16.6,23.6,21.8,18.4,9.8
06,107,43851,42377,41117,24.6,21.6,30.8,21.8,16.9,8.5
06,109,47462,44751,44991,15.2,11.4,18.9,17.7,13.8,5.9
06,111,75348,71418,71807,11,9,22.4,18.6,10.8,4.3
06,113,57077,54433,50027,16.4,16.9,19.4,25.5,12.7,5.2
06,115,46807,41045,37558,20.7,19,23.8,20.8,19.2,8.8
08,001,54666,52785,50930,13,12.5,27.7,18.5,10.2,5
08,003,35935,36339,33726,21,22.8,24.5,22.1,7.8,4.7
08,005,58719,58152,55804,11.4,10.3,21.6,19.4,8.7,4.3
08,007,56068,46165,46904,13.1,10.5,24,26,10.1,4.1
08,009,36017,33086,29443,17.3,17.8,27.7,29,4.3,3.2
08,011,36412,33702,30475,30.9,24.3,23.3,21.6,8.1,5.7
08,013,64839,62215,62322,13.6,11.1,16.7,24.7,6.9,3.7
08,014,75590,76006,71714,6,5.8,13.7,14.1,7.8,4.4
08,015,42941,42420,39263,12.9,13.1,22.6,24.3,8,4.4
08,017,47125,44464,37794,12.1,13.4,26.4,31.9,3.3,2.7
08,019,60426,64822,61744,8.6,7.3,12.8,19.5,8.3,4.1
08,021,33627,32254,28591,21.3,24,25.5,24.8,9.4,6.6
08,023,24388,27305,23000,25.7,29.5,32.8,29.9,11.8,8.6
08,025,38189,34569,28375,34.7,35.6,23.7,17.4,10.6,6.9
08,027,39909,42951,41811,15,13,24.1,32.4,7.2,4.3
08,029,40451,40288,37343,15.7,13.7,26.3,26.7,9.7,4
08,031,45501,45415,41357,21.3,19.7,23.8,22.4,9.9,4.9
08,033,43058,40511,35877,12.9,13.9,30.9,27.8,17,6.6
08,035,99198,97806,93273,3.5,2.5,8.8,12.1,7.1,3.6
08,037,71337,69182,65923,8.5,7.3,26.3,28.8,9.5,3.4
08,039,78958,78550,75374,6.5,5.3,14.4,19.5,8.3,4
08,041,56268,51553,53234,13.4,9.3,19.6,20.9,9.8,4.6
08,043,37847,40543,37831,16.7,16.9,18.6,16.6,10.3,5.6
08,045,64902,60456,59503,9.6,7.6,28,26.4,10.1,2.9
08,047,58036,63024,60235,7.5,5.6,12.5,13.4,7.8,4.1
08,049,60433,55818,54619,8.3,7.8,22.8,27,9.1,3.3
08,051,49356,47698,41434,14.5,13.7,26.4,33.3,7.1,3.2
08,053,74659,48195,42406,9.4,9.1,22.5,32,4.5,3
08,055,30058,31696,28778,22.7,25.5,23.5,17.3,11.8,6
08,057,37222,43691,36073,15.1,16.1,26.8,29.1,6.7,3
08,059,66075,64181,60784,8.8,7,16.3,17.1,8.6,4.2
08,061,40089,37600,33032,13,13.2,21,27.6,5.4,3.6
08,063,41678,39498,38751,14,13.7,29.2,29.7,4.7,3.1
08,065,41103,43565,40443,14.4,13.9,30.6,30.9,13.2,4.1
08,067,56422,53029,50561,11.5,11.5,22.2,26.6,7.1,3.4
08,069,56447,54739,54241,13.6,12.1,18.1,21.7,7.4,3.9
08,071,38134,37700,35008,18.8,16.4,22.7,22.3,9.6,4
08,073,41616,39230,35524,17.9,17.9,23.5,26.8,5,3.7
08,075,40961,40637,37885,16.3,12.7,22.4,22.3,6.9,3.4
08,077,52067,47324,42791,14.7,12.4,23,20.7,10.7,3.9
08,079,53438,45645,42228,11.9,10,23.8,35,6.3,5.2
08,081,53587,55913,50285,10.1,10.1,20.6,22.7,9.5,3.7
08,083,44103,41074,37389,17.4,18,25.2,22.2,9.2,4.4
08,085,46590,44002,42016,15,12.5,25.5,27.4,11.2,4
08,087,43111,43209,40266,14.2,13.8,28.3,26.1,6.9,3.9
08,089,34142,34360,33310,19.9,19.4,23.2,21,8.6,6.1
08,091,58393,54920,51747,9.4,8,23.3,30.5,7.7,3.1
08,093,64098,66400,60208,9.3,7.6,20.2,21.4,9,4
08,095,44084,44064,36380,11.4,11.2,27.5,36.2,4.7,3.4
08,097,64502,65568,67950,7,5.6,21.3,25,8.2,3.2
08,099,33969,34488,32003,23,20.4,28.7,26.6,6.5,5.9
08,101,40699,39107,36999,19.6,17,20.7,17.3,10.5,5.6
08,103,57992,59308,47150,8.6,9.8,20.9,26.4,6.5,2.6
08,105,39871,37300,35842,17.3,16.6,23.2,23.2,8.4,4.8
08,107,60876,60506,61128,7.7,6.5,19,24.2,9.5,3.2
08,109,30430,30985,28213,25.1,26.4,37.8,41.4,9.5,6.3
08,111,43783,37001,34987,15.9,16.9,25,37,11.4,5
08,113,66399,62368,54850,10,9.4,28,33.6,7.6,3.5
08,115,37625,36749,30763,13.6,12.8,27.4,33.3,5.2,3.2
08,117,68750,60087,60332,10.1,7.1,23.2,28.5,7.9,3.2
08,119,58080,59966,57686,8.7,8.1,16.2,18.2,9.5,4.2
08,121,39735,40914,34115,13.9,13,28.4,33.8,5.6,3.5
08,123,55596,52334,52037,14.3,14.3,22.7,23.9,10.2,4.6
08,125,42114,43361,38067,12.5,13.5,29.1,31,4.3,2.7
09,001,81268,74634,76378,9.3,6.8,15.4,14.2,8.4,3.8
09,003,62590,60028,58608,11.3,9.8,12.7,13.4,9.8,4.7
09,005,69639,66076,66113,6.7,6,11.1,11.7,9,3.9
09,007,74906,70805,68764,6.8,6.5,10.4,11.9,7.9,3.6
09,009,61114,57070,56755,11.6,9.9,13.2,13.9,10.3,4.7
09,011,65419,61792,59398,8.9,6.7,12,11.9,8.9,4.1
09,013,77175,74868,69458,6.4,5.9,9.5,13.9,7.9,3.7
09,015,59370,56564,53802,11.8,9.3,13,12.8,10.5,5.1
10,001,53183,51490,47635,12.1,12.7,13.2,14.8,8,3.2
10,003,62474,59877,58184,11.2,9.9,13,12.8,8.1,3.8
10,005,51046,48582,45798,13.9,11.3,17.4,21.2,7.9,3.3
11,001,58526,60729,51746,18.8,18.1,10.7,15.2,10.1,6
12,001,40644,40656,37046,25.3,21.8,23.4,31.2,7.9,2.6
12,003,47276,45802,44860,17.5,14.7,22.8,17,10.5,2.9
12,005,47770,44364,44058,15.1,13.8,26,22,10,3.1
12,007,41126,39454,38060,19.4,16.3,24.4,20.3,9.2,2.8
12,009,49523,46331,46415,13.5,10,24,23.8,11.1,3.3
12,011,51694,47917,50399,14.7,11.2,31.7,30.3,9.6,3.1
12,013,31699,34054,31397,22.1,20.4,28.3,23.4,9.2,3.1
12,015,45037,41991,43746,13.9,8.5,25.1,27,11.9,3.4
12,017,37933,36174,35563,17.2,11.8,25,26.1,12.7,3.8
12,019,61185,57913,59994,11.3,6.8,21.2,21.9,10.1,3
12,021,58106,53341,56135,15.7,9.8,33.6,37.2,11.6,3
12,023,38214,34870,37724,19.5,18.2,26.2,21.8,10.1,3.1
12,027,35979,33966,32754,32.9,30.3,41.8,43.6,10.7,3.5
12,029,32312,30967,28847,26.6,22.6,25.4,21.4,13,3.4
12,031,49463,46112,45770,16.6,13.7,23,21.9,11.5,3.5
12,033,43573,41428,41923,19.1,15.9,24.3,23.8,10.3,3.2
12,035,48090,45685,46685,15.5,8.2,26.8,25.9,15.1,4.2
12,037,36490,34522,33000,24.2,18.5,30.9,30.5,8.2,2.9
12,039,35728,35704,35136,23.8,19.7,28.9,22,10.7,3.5
12,041,37039,38517,36483,21,17.6,27.1,27.9,9.9,2.9
12,043,39429,39089,36040,21,15.8,36.8,34.5,10.4,4
12,045,39178,39403,36278,21.1,19.2,26,22.3,10.3,2.9
12,047,37613,31820,30399,30.8,24.3,26.2,22.1,11.8,3.8
12,049,37466,33732,33034,30.3,22,41.1,36,11.1,3.9
12,051,37298,37220,35235,26.7,22.7,43.4,39.8,14.7,6.2
12,053,42011,37867,39840,15.1,12,26.8,22.8,14.2,4.3
12,055,34946,34469,33242,20.7,14.4,33.8,32.8,11.3,3.6
12,057,49536,46043,46751,16.7,12.8,27.3,23.4,11.4,3.1
12,059,32247,33696,30794,22.5,20.9,25.4,21.5,8.5,3
12,061,47341,47525,45034,14.4,10.5,29.5,27.7,13.6,4.2
12,063,38257,37351,32879,19,19.1,22,21.3,7.8,3.5
12,065,41359,39113,39018,18.5,18.1,25.4,24.3,8.9,2.9
12,067,46445,36001,33234,26,22.3,33.6,39.1,8.6,2.7
12,069,46477,42343,42194,13.5,10.2,26.8,27,12.3,3.3
12,071,50014,44377,48674,17.1,9.2,31.4,32,12.6,2.9
12,073,44490,42393,41958,26.3,18.7,20,27.4,7.9,2.7
12,075,35737,32197,31966,27,17.8,27.7,29.5,12,3.4
12,077,40777,37815,33987,22.9,19.4,25.9,24,8,2.6
12,079,37459,31942,32113,23.4,20.9,27,23,11.4,5
12,081,47812,44990,45401,14.5,11.4,28.8,27.8,12.1,2.9
12,083,40339,37162,39550,19.6,12.2,28.8,28.8,13.4,3.4
12,085,53210,49539,51113,11.3,8.7,26,29.9,11.5,3.4
12,086,43605,40145,41178,20.3,16.4,42.4,34.6,12.5,3.8
12,087,53821,50388,50598,12.6,11.5,31.2,32.5,7.1,2.5
12,089,58712,57605,55496,11.3,9.4,22,22.4,10.4,2.9
12,091,54242,51173,52615,12.4,9.6,22.7,26,7.9,2.4
12,093,38339,35417,36866,22.3,16,35.4,35.3,12.4,4.1
12,095,50138,45105,48776,16.4,11.9,29.4,25,11.1,3.1
12,097,46328,42165,44277,16.3,12.1,33,27.7,12.4,3.4
12,099,53242,49891,51658,14.3,10.6,30.3,29.1,11.4,3.6
12,101,44228,42184,41700,15.2,10.2,26.1,22.9,13,3.7
12,103,45258,42628,41960,14.2,12.3,25.7,21.7,11.5,3.2
12,105,43946,41184,41176,17.5,13.4,29.1,25.6,12.2,3.5
12,107,34645,33300,31755,26.7,22.1,27.7,28.3,12.4,3.7
12,109,62663,60841,58306,12,7.6,18.7,21.3,9.2,2.7
12,111,45196,39378,44466,17.6,12.6,31.4,27.4,13.9,4.2
12,113,55129,51208,52453,12.6,10.8,23.4,20.4,9.3,3.1
12,115,49388,46047,48626,13.1,9,27.5,28.4,11.9,3
12,117,58971,57381,56655,11,9.6,23.8,22.2,10.5,2.9
12,119,43079,45165,42459,13,13.1,20.8,25.2,9.8,2.7
12,121,36352,39259,32847,20.9,18.1,28.9,29.6,10,3.2
12,123,37408,35343,34900,20.6,20.6,23,20.2,11.2,3.9
12,125,41794,40523,37740,24.3,19.4,25,19.6,8.7,2.6
12,127,44400,41368,40857,16.5,12.9,28.8,23.5,11.5,3.3
12,129,53301,47566,47672,14.1,12.2,21.9,24,8.3,2.5
12,131,47273,44622,42115,16.5,13.3,26.7,28.7,7.9,2.1
